,0,type,content,3,4,5,6,7,8,9,10,11,12,13
24,10064.json,0,say charli crist embroil fraud case steer taxpay money de facto ponzi scheme .,"jobs,state-budget",republican-party-florida,,,republican,10,6,6,6,4,a TV ad
25,1084.json,1,", time someon like scalia ginsburg got <num> -plus vote .","sotomayor-nomination,supreme-court",lindsey-graham,U.S. senator,South Carolina,republican,2,2,4,2,0,a Senate hearing
26,13231.json,0,gone red line syria .,foreign-policy,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,the second presidential debate
27,13089.json,0,"tim kain hike tuition governor , claim champion afford .","education,state-budget",republican-national-committee-republican,,,republican,6,6,11,5,2,a blog post.
28,1051.json,1,"contend presid obama liter said ( ) cap-and-trad propos pass , util rate , word , would , necessarili skyrocket .","climate-change,energy",mike-pence,Governor,Indiana,republican,8,10,12,5,0,MSNBC interview.
29,4161.json,1,activ duti male militari twice like develop prostat cancer civilian counterpart .,"health-care,military",cliff-stearns,U.S. representative,Florida,republican,0,0,2,1,0,a press release
30,11966.json,0,sinc <num> senat differ parti presid white hous confirm suprem court nomine .,"congress,supreme-court",cory-gardner,U.S. House of Representatives,Colorado,republican,4,1,0,0,0,a talk show
31,9800.json,0,"rosemari lehmberg , travi counti d.a. offic conven grand juri indict rick perri .","crime,criminal-justice",sarah-palin,,Alaska,republican,9,19,9,6,6,a commentary
32,816.json,0,team hes root world seri .,"baseball,recreation",barack-obama,President,Illinois,democrat,70,71,160,163,9,
33,2646.json,0,tom ganley two fs better busi bureau <num> complaint three year .,"message-machine,campaign-advertising",democratic-congressional-campaign-committee,,,democrat,11,8,5,1,9,an election ad
34,12381.json,1,unit state low voter turnout rate .,elections,mamie-locke,State senator,Virginia,democrat,0,0,0,0,0,an interview.
35,8567.json,0,"say thoma jefferson said , might abl fool peopl awhil , may go astray , sooner later american peopl go wake correct cours .","health-care,history",herman-cain,,Georgia,republican,4,11,5,3,3,a video on Cain TV
36,9092.json,0,"feder health care law , <num> health plan cancel florida .",health-care,rick-scott,Governor,Florida,republican,28,23,38,34,7,a television ad from Let's Get to Work
37,10055.json,1,"massachusett , scott brown push law forc women consid abort -- forc -- look color photograph develop fetus .","abortion,legal-issues,women",jeanne-shaheen,Senator,New Hampshire,democrat,3,0,4,2,0,an ad
38,4513.json,1,"fed creat $ <num> trillion noth , gave bank , foreign bank , could stabil oper .","economy,financial-regulation",dennis-kucinich,U.S. representative,Ohio,democrat,1,3,4,6,0,a television interview
39,10340.json,1,texa famili kept $ <num> billion famili budget sinc success fought restor texa sale tax deduct decad ago .,"states,taxes",kevin-brady,U.S. House member,Texas,republican,1,0,0,1,0,a press release
40,6849.json,0,pre-exist condit cover ( health care ) plan .,"debates,health-care",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a presidential debate in Denver
41,10971.json,0,"greg abbott activ state guard monitor jade helm <num> case troop tri impos martial law , disarm innoc texan , detain tunnel beneath close walmart store .","military,states",doonesbury,,,none,0,0,2,4,0,the strip about Greg Abbott and the Jade Helm military exercise
42,13251.json,0,say second debat hillari clinton landslid everi poll .,"debates,elections,polls",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a tweet
43,7545.json,0,say bag litter increas san francisco ban single-us shop bag .,environment,drew-springer,,,republican,1,0,0,0,0,a press release
44,4929.json,1,"<num> newt gingrich first advoc individu mandat health care . recent may year , still advoc .",health-care,michele-bachmann,Congresswoman,Minnesota,republican,8,22,6,4,16,"a Republican presidential debate in Des Moines, Iowa"
45,6239.json,0,"say result nation health care reform , congression budget offic say save $ <num> million first <num> year . next <num> year , save $ <num> trillion save term health care .",health-care,robert-menendez,U.S. Senator,New Jersey,democrat,1,3,1,3,0,an interview on Richard French Live
46,266.json,0,"said would vote patriot act , came senat , vote .",terrorism,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,"a debate in Manchester, N.H."
47,8841.json,1,feder minimum wage worth <num> percent less ronald reagan gave first address joint session congress .,"economy,history,income,workers",barack-obama,President,Illinois,democrat,70,71,160,163,9,the State of the Union address
48,6313.json,0,propos tax fund transport project would spend $ <num> take singl vehicl road morn afternoon commut .,transportation,steve-brown,Fayette County Commissioner,Georgia,republican,0,1,1,0,0,a forum hosted by The Atlanta Journal-Constitution
49,9550.json,0,salesclerk hobbi lobbi need contracept go get servic employ health care plan employ doesnt think use contracept .,"abortion,health-care,legal-issues,women",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,an interview at the Aspen Ideas Festival
50,9612.json,0,say charli crist vote rais minimum wage .,"economy,jobs",republican-party-florida,,,republican,10,6,6,6,4,a campaign commercial
51,13272.json,0,hillari clinton said gun confisc would worth consid .,guns,national-rifle-association,,,none,3,5,1,5,3,a flier.
52,7562.json,1,"alreadi , prototyp driverless car travel <num> mile crowd maze california street without singl accid .","consumer-safety,public-safety,technology,transportation",jeb-bush,,Florida,republican,17,5,17,24,2,a speech at CPAC
53,3121.json,0,"last year , <num> ( ) popul growth state texa , <num> <num> came texa ... <num> state .","economy,immigration",david-dewhurst,Lieutenant governor,Texas,republican,8,8,10,5,5,his inaugural address.
54,9578.json,0,undocu children pick border told appear later court ... <num> percent show .,"children,foreign-policy,immigration,legal-issues",jeff-flake,U.S. Senator,Arizona,republican,0,1,0,0,0,"an interview on the PBS ""News Hour"""
55,4553.json,0,say gov . chris christi cut spend ( ) $ <num> billion provid $ <num> million new educ fund .,"education,state-budget",committee-our-childrens-future,Political advocacy group,New Jersey,none,0,0,2,1,0,a television ad
56,2356.json,1,hes candid whos balanc budget brought job provid .,"candidates-biography,state-budget",steven-costantino,House Finance Chairman ,Rhode Island,democrat,0,1,0,1,0,a TV commercial 
57,3453.json,0,"studi shown absenc feder reproduct health fund , go see level abort georgia increas <num> percent .",abortion,hank-johnson,U.S. Congressman,Georgia,democrat,3,0,4,3,0,an article published in The Atlanta Journal-Constitution
58,1066.json,0,acorn paid partner census bureau charg go door-to-door collect data american public .,census,michele-bachmann,Congresswoman,Minnesota,republican,8,22,6,4,16,an interview with the Washington Times.
59,2092.json,0,sixti percent hispan support arizona immigr law,immigration,russell-pearce,,Arizona,republican,0,0,0,0,1,a CNN interview
60,7442.json,0,"sequest hit , feder prosecutor let crimin go .","crime,criminal-justice,federal-budget,legal-issues",barack-obama,President,Illinois,democrat,70,71,160,163,9,"a speech in Washington, D.C. "
61,9910.json,0,say dick cheney de-baathis iraqi govern creat isi .,"foreign-policy,iraq,terrorism",chris-matthews,Host of MSNBC's Hardball,,none,1,2,2,1,0,a broadcast on MSNBC
62,11083.json,1,say bill hillari clinton attend donald trump last wed .,candidates-biography,carlos-curbelo,Miami-Dade school board member,Florida,republican,0,1,0,1,0,a radio interview
63,11443.json,0,play role bring compani ri other govern . task handl legisl affect compani superior .,"bankruptcy,debt",steven-costantino,House Finance Chairman ,Rhode Island,democrat,0,1,0,1,0,a statement
64,11539.json,0,"obamacar insur cooper failur expect theyr like busi , start busi america , fifth year , half busi close .",health-care,ezekiel-emanuel,Vice Provost for Global Initiatives and chair of the Department of Medical Ethics and Health Policy ,,democrat,1,0,2,0,0,"a discussion on MSNBC's ""Up with Steve Kornacki"""
65,2966.json,0,tax cut deal give $ <num> billion millionair billionair .,"deficit,economy,taxes",sherrod-brown,U.S. Senator,Ohio,democrat,3,4,5,8,1,a CNN interview
66,13367.json,1,say marco rubio said social secur medicar haveweaken us peopl .,"medicare,social-security",patrick-murphy,,Florida,democrat,2,1,4,5,0,a Florida Senate debate
67,1087.json,1,"across countri , $ <num> billion recoveri act commit first <num> day .","economy,federal-budget,stimulus",joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,a news release.
68,267.json,1,"secretari depart energi former presid bill clinton , `` creat reserv home heat oil . ''",energy,bill-richardson,Governor,New Mexico,democrat,1,2,3,8,1,"a debate in Manchester, N.H."
69,4272.json,1,twenty-f state lower unemploy texa tie mississippi minimum-wag job anywher unit state .,"job-accomplishments,jobs",lloyd-doggett,Texas congressman in the U.S. Houst of Representatives,Texas,democrat,1,0,2,7,0,an interview with ABC TV.
70,8849.json,0,"<num> bill [ rep. david ] cicillin sponsor three year offic , singl one advanc past embryon committe stage .","bipartisanship,congress,congressional-rules,job-accomplishments,voting-record",ian-prior,"Northeast regional spokesman, National Republican Congressional Committee",Rhode Island,republican,0,0,1,0,0,a Providence Journal commentary
71,12542.json,0,"say donald trump said love war , includ nuke .","candidates-biography,foreign-policy,military",priorities-usa-action,,,democrat,3,1,4,2,1,"an ad discussed on ""Meet the Press"""
72,8372.json,0,"state tax law start hous renew state hospit bed tax year start senat , unconstitut .","state-finances,taxes",david-pennington,Mayor of Dalton,Georgia,none,1,0,0,0,0,a public meeting
73,3518.json,1,everi child born today inherit $ <num> share nation debt stand $ <num> trillion .,deficit,tim-pawlenty,,,republican,2,3,3,6,1,"his book, ""Courage to Stand: An American Story"""
74,8340.json,0,strong bipartisan major hous repres vote defund obamacar .,"congressional-rules,federal-budget,health-care",ted-cruz,Senator,Texas,republican,36,33,15,19,8,a news release
75,10218.json,0,proxim high-voltag power line lower properti valu much <num> percent .,"energy,environment,housing,recreation",friends-india-point-park,,Rhode Island,organization,0,0,1,0,0,a web site
76,12698.json,0,fact say ... best scenario kid love mom dad .,"children,diversity",reince-priebus,"Chairman, Republican National Committee",Wisconsin,republican,2,12,8,3,1,"comments on ""Meet the Press"""
77,2357.json,0,say mark neumann = nanci pelosi,"federal-budget,infrastructure,message-machine,transportation,voting-record",scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,campaign TV and radio ads
78,7823.json,0,"hear gov . christi tell , everyth new jersey go fine . well see anoth new jersey <num> unemploy . one worst jobless rate countri . work middl class famili seen cost soar , properti tax colleg tuition .","education,jobs,taxes",barbara-buono,State Senator,New Jersey,democrat,3,1,4,4,1,a gubernatorial campaign television ad
79,12541.json,0,say deleg cant legal chang republican nation convent rule prevent donald trump nomin .,"corrections-and-updates,elections,legal-issues",donald-trump,President-Elect,New York,republican,63,114,51,37,61,"an interview on ""Meet the Press"""
80,2854.json,0,rebuild three high school benefit <num> percent portland public school student .,education,carole-smith,Portland schools superintendent,Oregon,none,0,0,0,0,1,a press briefing
81,4719.json,0,proposit <num> novemb texa ballot cost state taxpay money .,"elections,water",H204TEXAS-PAC,,,none,0,0,1,0,0,an email blast.
82,2072.json,1,provid lowest crime rate three decad .,"crime,job-accomplishments",david-cicilline,mayor of Providence,Rhode Island,democrat,7,4,5,4,1,a debate
83,2885.json,0,ban earmark .,federal-budget,bill-nelson,,Florida,democrat,3,1,8,10,0,Senate floor votes
84,13334.json,0,say hes taken <num> % pay decreas nine year offic .,"candidates-biography,county-budget,county-government",gerald-daugherty,Businessman,Texas,republican,1,0,1,0,0,his campaign website
85,4820.json,0,<num> percent american millionair . <num> percent hous reps. millionair . <num> percent senat millionair .,occupy-wall-street,facebook-posts,Social media posting,,none,14,18,15,11,36,Facebook
86,12309.json,0,decis unit state buy heavi water iran direct subsid iran nuclear program .,"energy,foreign-policy,nuclear",paul-ryan,U.S. Representative,Wisconsin,republican,19,6,16,14,2,a news release
87,1420.json,1,texa depart transport ... misplac billion dollar .,transportation,debra-medina,Businesswoman,Texas,republican,0,1,3,1,0,a debate.
88,8761.json,0,judg order mean there constitut exempt zone live within <num> mile unit state border .,"civil-rights,immigration,privacy,technology",facebook-posts,Social media posting,,none,14,18,15,11,36,a Facebook post
89,2491.json,1,"pepper ... kick jock tax , impos levi sport entertain industri .","message-machine,taxes",dave-yost,Ohio auditor,ohio,republican,1,0,0,1,0,a campaign video
90,1075.json,0,"mitch mcconnel oppos `` legisl creat protect kentucki job . . . help unemploy . . . health care kentucki 's children , '' `` fair pay women . ''","economy,health-care,workers",democratic-national-committee,,,none,8,2,10,8,0,a television ad
91,9762.json,1,"mayor tom barrett , number milwauke polic offic increas .","city-budget,crime,job-accomplishments",bob-donovan,Member of Milwaukee Common Council,Wisconsin,none,0,0,0,1,1,an interview
92,5935.json,0,taxpay subsid <num> percent marta trip,transportation,brett-bittner,"Executive Director, Libertarian Party of Geo",,libertarian,1,0,0,0,0,an interview
93,2821.json,0,"presid obama , sen. harri reid rep. nanci pelosi pass $ <num> trillion stimulus bill .",stimulus,george-allen,consultant,Virginia,republican,2,8,3,4,1,
94,6370.json,1,say milken institut rate san antonio nation top-perform local economi .,economy,julian-castro,"Mayor, San Antonio",Texas,democrat,0,0,3,3,0,his speech at the Texas Democratic Party State Convention in Houston
95,3706.json,0,say peopl africa liter walk two three hundr mile order vote .,elections,mike-bennett,State Senator,Florida,republican,0,0,0,0,1,comments made on the Senate floor.
96,10163.json,1,"world war ii , peopl actual health insur .","health-care,public-health",james-carr,manager of business operations at a community hospital,Virginia,libertarian,0,0,0,0,0,an interview
97,2796.json,0,half children struck car near school hit parent drive children school .,transportation,safe-routes-schools,safety program,Oregon,none,0,1,0,0,0,a mailer
98,6083.json,0,"citizen properti insur $ <num> billion worth risk , less $ <num> billion worth surplus .","state-budget,weather",rick-scott,Governor,Florida,republican,28,23,38,34,7,comments to the press
99,5913.json,0,tom leppert pledg make dalla sanctuari citi illeg immigr .,immigration,conservative-renewal-pac,Political action committee,Texas,republican,1,0,0,0,0,a TV ad.
100,934.json,1,put three republican cabinet ... unpreced .,history,barack-obama,President,Illinois,democrat,70,71,160,163,9,a news conference
101,2162.json,0,"atlanta polic chief georg turner interim head depart , overal crime fell <num> percent violent crime drop <num> percent .",crime,kasim-reed,,,democrat,1,0,5,7,1,a press release
102,3161.json,1,<num> <num> top <num> percent saw incom go rough <num> percent median wage countri ( ) <num> year went <num> percent .,"economy,history,income,pundits,taxes",rachel-maddow,MSNBC host,,none,6,6,4,6,1,"HBO's ""Real Time with Bill Maher"""
103,2679.json,1,"proud , governor florida , sign first divest act , relat iran , divest invest compani would invest iran .","florida,foreign-policy",charlie-crist,,Florida,democrat,15,9,20,19,2,a U.S. Senate debate on CNN’s “State of the Union.”
104,8929.json,1,"result climat chang , ice fishermen wisconsin alreadi notic fewer day ice cover lake .","climate-change,environment",mark-pocan,"State Assembly member, 78th District",Wisconsin,democrat,1,2,2,3,0,a speech
105,10040.json,0,muslim nation call peopl celebr <num> / <num> attack .,"islam,terrorism",bill-oreilly,Fox News Channel host,,none,4,6,3,5,1,"a broadcast of Fox News' ""The O'Reilly Factor"""
106,12398.json,0,"say donald trump said women , tell go f -- - .",women,priorities-usa-action,,,democrat,3,1,4,2,1,a television ad
107,2690.json,0,"taliban year year , mean , hundr thousand year .","afghanistan,terrorism",kendrick-meek,,Florida,democrat,2,6,1,4,1,a debate
108,8667.json,1,iran presid hassan rouhani cabinet member ph.d.s american univers member barack obama cabinet .,"education,foreign-policy",bob-schieffer,Host of CBS' Face the Nation,"Washington, D.C.",journalist,0,1,0,0,0,comments at a forum at the Center for Strategic and International Studies
109,8941.json,1,"word subhuman mongrel , ted nugent call presid barack obama , use nazi justifi genocid jewish communiti .",history,wolf-blitzer,CNN host,,none,0,0,0,0,0,comments on CNN
110,6821.json,0,"( barack obama ) say hes go reduc long-term debt deficit $ <num> trillion , doesnt say hes go .","debt,deficit",chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,an interview on NBC’s “Meet The Press”
111,10631.json,0,birth control pioneer margaret sanger wasan activ particip ku klux klan .,abortion,william-obrien,Speaker of the House of Representatives,New Hampshire,republican,1,2,1,0,0,a Facebook post
112,6579.json,0,say presid obama nation labor relat board su boe decis open plant south carolina .,"economy,jobs,market-regulation",nikki-haley,Governor,South Carolina,republican,0,0,1,3,0,a speech at the Republican convention
113,11400.json,1,say u.s. sen. ron johnson led fight let pollut releas unlimit amount carbon pollut took near $ <num> pollut .,"environment,government-regulation",league-conservation-voters,,,organization,0,0,0,1,0,a television ad
114,3228.json,1,orrin hatch co-sponsor <num> health care bill individu mandat .,"health-care,pundits",cenk-uygur,,,democrat,0,0,0,0,0,MSNBC Live
115,9746.json,0,( student-athlet ) graduat student arent student-athlet .,"education,sports",mark-emmert,NCAA president,,none,0,0,1,0,0,"comments on ABC's ""This Week"""
116,1915.json,0,u.s. rep. lloyd doggett liber man unit state congress .,"bipartisanship,candidates-biography",donna-campbell,Physician,Texas,republican,0,1,0,1,0,a speech
117,12456.json,0,"entir possibl democrat nomine , [ hillari clinton ] , earn money give singl speech wall street made six year back <num> fact , quit like .",income,pat-toomey,Candidate for U.S. Senate,Pennsylvania,republican,3,2,2,1,0,an interview with Chris Stigall on Talk Radio 1210 WPHT
118,4856.json,0,say mitt romney flip-flop assault weapon ban .,"guns,message-machine-2012",democratic-national-committee,,,none,8,2,10,8,0,a campaign advertisement
119,4698.json,0,"say state senat presid stephen sweeney gave us nation highest incom tax rate , drive job .","income,jobs,message-machine-2012,taxes",americans-prosperity-new-jersey,,,none,0,1,0,0,0,a television ad posted on YouTube
120,2585.json,0,delawar democrat senat candid chris coon thought <num> call tax .,"message-machine,public-safety,taxes,technology",christine-odonnell,Candidate for U.S. Senate,Delaware,republican,1,0,0,1,2,a campaign commercial
121,6604.json,0,"tim kain governor , spend soar , blow hole budget everi year .","job-accomplishments,message-machine-2012,state-budget,state-finances",crossroads-gps,Conservative advocacy group,,republican,9,1,4,1,2,a TV ad.
122,4495.json,0,presid obama lowest public approv rate presid modern time .,"history,polls",michele-bachmann,Congresswoman,Minnesota,republican,8,22,6,4,16,a Republican presidential debate in Orlando
123,8406.json,0,"nevill chamberlain told british peopl : accept nazi . yes , domin contin europ , problem . let appeas . ? cant done . possibl stand .","health-care,history",ted-cruz,Senator,Texas,republican,36,33,15,19,8,speech advocating repeal of Obamacare law
124,10147.json,0,incom cap recipi popular hope scholarship,education,jason-carter,State Senator,Georgia,democrat,1,0,2,1,0,forum
125,10623.json,1,wisconsin dead last midwest job creation .,"government-regulation,job-accomplishments,jobs,labor,unions,workers",mark-pocan,"State Assembly member, 78th District",Wisconsin,democrat,1,2,2,3,0,an interview
126,2277.json,0,run civil polit campaign .,"message-machine,campaign-advertising",roy-barnes,Attorney,Georgia,democrat,0,0,3,3,1,a television interview
127,8146.json,1,"say presid barack obama taken <num> day vacat sinc sworn , compar <num> presid georg w. bush point presid .","bush-administration,pundits,recreation",al-sharpton,,New York,democrat,2,1,1,1,0,"a segment of his MSNBC show, ""Politics Nation"""
128,6026.json,0,feder govern review verifi administr number show wisconsin ad <num> job <num>,"economy,job-accomplishments,jobs",scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,a debate
129,13056.json,1,tom suozzi rais tax hundr million dollar nassau counti execut .,taxes,national-republican-congressional-committee,,,republican,18,9,8,5,8,a blog post on the NRCC website
130,1103.json,0,"john holdren , director white hous offic scienc technolog polici , propos forc abort put steril drink water control popul .","abortion,pundits",glenn-beck,,,none,5,7,7,2,6,his TV program
131,4444.json,1,mitt romney drove canada famili dog seamus strap roof car .,"animals,candidates-biography,pundits",gail-collins,Columnist for the New York Times,New York,journalist,2,1,1,3,0,a column
132,9269.json,0,mani found father activ involv cockfight .,"animals,history",matt-bevin,Investment manager,Kentucky,republican,0,1,0,1,1,a radio interview
133,4105.json,0,say state sen. sheila harsdorf want elimin medicar know .,"medicare,retirement",shelly-moore,Teacher,Wisconsin,democrat,0,0,0,0,1,a campaign flier
134,8533.json,0,major peopl travel destin resort go primari purpos gambl .,gambling,frank-fahrenkopf,Retired president and CEO of the American Gaming Association,,republican,1,0,0,0,0,"an opinion piece in the ""Miami Herald"""
135,6950.json,1,say bill nelson vote <num> percent time barack obama .,voting-record,connie-mack,U.S. representative from Fort Myers,Florida,republican,3,3,1,3,1,a U.S. Senate debate
136,13125.json,0,say . say climat chang hoax perpetr chines .,"candidates-biography,china,climate-change,economy,energy,environment,history,science",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a presidential debate
137,8294.json,1,florida <num> ( ) wait list child care <num> wait list communiti care elder .,"children,education,state-budget",nan-rich,candidate for governor,Florida,democrat,1,0,1,3,0,"a ""Tampa Tribune"" blog"
138,9908.json,1,"say nfl commission roger goodel interview domest abus victim janay rice ray rice present everi domest violenc agenc , everi law enforc agenc , that no-no .","criminal-justice,sports",mike-wise,"Columnist, Washington Post",,none,0,0,0,1,0,"comments on CNN's ""State of the Union"""
139,12424.json,0,tell enhanc interrog techniqu sinc ban administr specif waterboard work .,"afghanistan,bush-administration,candidates-biography,ethics,foreign-policy,homeland-security,human-rights,iraq,public-safety,terrorism",todd-wilcox,,Florida,republican,0,1,1,0,0,a newspaper interview
140,4309.json,0,virginia made progress job sinc bob mcdonnel took offic .,"jobs,message-machine-2012",democratic-party-virginia,,Virginia,democrat,2,1,1,3,0,a web video
141,110.json,0,iraq studi group report ( saddam hussein ) design reviv nuclear program .,iraq,fred-thompson,Actor,Tennessee,republican,1,4,3,3,0,"a debate in Dearborn, Mich."
142,7677.json,1,"sex-offend registri around long time , research that say posit impact public safeti .",crime,ohio-public-defenders-office,,Ohio,none,0,0,0,1,0,a newspaper interview
143,4780.json,1,ronald reagan rais nation debt <num> time .,deficit,jim-webb,writer,Virginia,democrat,1,0,1,5,0,a TV interview.
144,715.json,0,whether global warm man-mad .,"climate-change,environment",sarah-palin,,Alaska,republican,9,19,9,6,6,"Fairbanks, Alaska"
145,3107.json,1,number inmat sinc <num> death row die natur caus surpass number inmat execut .,"crime,legal-issues",dean-cannon,state House speaker,Florida,republican,1,0,0,0,0,comments to reporters.
146,7565.json,1,"quit frank , bush year spend , multipli obama year mess .","bipartisanship,debt,deficit,federal-budget",steve-latourette,Former U.S. representative from Ohio's 11th District,Ohio,republican,0,0,3,1,0,an interview on “Fox News Sunday”
147,8606.json,0,republican propos dozen ( health care ) solut design help control cost improv qualiti .,health-care,ron-johnson,,Wisconsin,republican,14,6,10,10,1,the weekly Republican address
148,3869.json,0,"union say want elimin tenur , that true .","education,state-budget,unions",chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,a speech at the Harvard Graduate School of Education
149,10948.json,0,say hillari clinton donat everi cent shes ever earn speak fee chariti .,candidates-biography,occupy-democrats,,,organization,0,4,3,1,4,a post on Facebook
150,12210.json,0,charlott anti-discrimin ordin would open bathroom sex time hadnt overturn .,"city-government,gays-and-lesbians,government-regulation,public-safety",dan-forest,Lieutenant Governor,North Carolina,republican,0,1,0,0,0,a tweet
151,4119.json,1,eighti percent american peopl support approach ( feder budget problem ) includ revenu includ cut .,"federal-budget,polls,taxes",barack-obama,President,Illinois,democrat,70,71,160,163,9,a press conference
152,7272.json,0,social secur noth feder deficit .,"federal-budget,social-security",hank-johnson,U.S. Congressman,Georgia,democrat,3,0,4,3,0,a twitter post
153,12236.json,0,<num> percent gun seller respons half gun use crime .,"crime,government-regulation,guns",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a forum
154,4016.json,0,pay fire milwauke polic offic,state-budget,alberta-darling,"State Senator, 8th District",Wisconsin,republican,1,1,2,1,1,an interview
155,6765.json,1,texa state gone longest without elect democrat statewid .,"elections,history",joaquin-castro,attorney,Texas,democrat,1,0,1,2,0,a panel at the Texas Tribune Festival.
156,11867.json,0,say cnn report ben carson take break campaign cruz campaign forward news volunt .,candidates-biography,ted-cruz,Senator,Texas,republican,36,33,15,19,8,the New Hampshire GOP debate
157,11777.json,1,"today , rais poor , your like stay poor <num> year ago .","families,income,poverty",paul-ryan,U.S. Representative,Wisconsin,republican,19,6,16,14,2,a column posted on Medium.com
158,9051.json,0,"say presid barack obama told room student , children , everi time clap hand togeth , child america die gun violenc , child told could solv problem clap .",guns,chain-email,,,none,11,43,8,5,105,a chain email
159,4243.json,1,unit state longest surviv constitut .,"foreign-policy,history,new-hampshire-2012",jon-huntsman,,Utah,republican,5,1,5,4,1,"a campaign appearance in Milford, N.H. "
